'timestamp' 	 'F1Value' 	 'F2Value' 
'numInterv' 	 1000 
0.005 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 
0.025 	 --undefined-- 	 --undefined-- 
5.365 	 749.9 	 1275.5 
5.375 	 751.0 	 1279.9 
5.385 	 757.8 	 1281.8 
5.395 	 762.4 	 1280.7 
5.405 	 765.8 	 1283.9 
5.415 	 766.1 	 1298.0 
5.425 	 764.9 	 1304.9 
5.435 	 760.6 	 1292.7 
5.445 	 761.1 	 1301.0 
5.455 	 768.3 	 1306.7 
5.465 	 774.6 	 1298.6 
5.475 	 778.1 	 1305.6 
5.485 	 789.4 	 1300.4 
5.495 	 815.0 	 1334.7 
5.505 	 838.2 	 1386.2 
5.515 	 865.3 	 1392.9 
5.525 	 947.4 	 1358.9 
5.535 	 969.9 	 1365.2 
5.545 	 901.9 	 1378.4 
5.555 	 852.1 	 1311.7 
5.565 	 844.6 	 1311.2 
5.575 	 854.8 	 1379.1 
5.585 	 841.3 	 1423.9 
5.595 	 822.2 	 1458.4 
5.605 	 799.9 	 1486.9 
5.615 	 780.2 	 1507.3 
5.625 	 753.1 	 1503.7 
5.635 	 712.8 	 1480.3 
5.645 	 651.4 	 1419.8 
5.655 	 930.5 	 1956.6 
5.665 	 1226.5 	 2442.3 
5.675 	 1193.3 	 2351.4 
5.685 	 1112.3 	 2476.4 
5.695 	 972.7 	 2553.6 
5.705 	 731.6 	 1894.8 
5.715 	 521.7 	 1244.9 
5.725 	 491.3 	 1183.9 
5.735 	 481.3 	 1168.6 
5.745 	 430.7 	 1241.2 
5.755 	 388.1 	 1354.1 
5.765 	 382.3 	 1479.6 
5.775 	 418.4 	 1599.4 
5.785 	 481.7 	 1650.0 
5.795 	 545.5 	 1635.4 
5.805 	 597.4 	 1605.8 
5.815 	 636.1 	 1563.4 
5.825 	 677.3 	 1525.4 
5.835 	 706.3 	 1530.9 
5.845 	 716.9 	 1569.6 
5.855 	 723.8 	 1615.0 
5.865 	 726.3 	 1662.7 
5.875 	 697.6 	 1692.2 
5.885 	 905.6 	 1814.7 
5.895 	 1110.0 	 1957.9 
5.905 	 934.1 	 1971.4 
5.915 	 1009.7 	 1916.9 
5.925 	 949.4 	 1813.5 
5.935 	 649.7 	 1834.3 
5.945 	 632.7 	 1948.4 
5.955 	 633.8 	 2001.8 
5.965 	 630.0 	 2043.0 
5.975 	 618.1 	 2060.8 
5.985 	 608.6 	 2058.2 
5.995 	 589.3 	 2057.4 
6.005 	 568.4 	 2062.1 
6.015 	 559.6 	 2069.6 
6.025 	 544.8 	 2068.6 
6.035 	 527.0 	 2084.5 
6.045 	 486.4 	 2128.6 
6.055 	 430.7 	 2154.0 
6.065 	 356.2 	 2063.3 
6.075 	 548.0 	 2070.5 
6.085 	 1086.3 	 2184.9 
6.095 	 1223.9 	 2212.2 
6.105 	 1430.8 	 2742.9 
6.115 	 1402.3 	 3100.1 
6.125 	 1296.6 	 2978.4 
6.135 	 1412.5 	 2811.3 
6.145 	 951.9 	 2704.4 
6.155 	 692.6 	 2835.3 
6.165 	 745.6 	 2879.2 
6.175 	 1752.0 	 3122.5 
6.185 	 1771.9 	 3092.9 
6.195 	 1778.2 	 3162.6 
6.205 	 2537.2 	 2934.2 
6.215 	 2014.6 	 2514.8 
